SCAT_ID	CCB_ID	JGI_ID
SCAT_0388	embl-cds:CCB73126	2504910791
SCAT_0389	embl-cds:CCB73127	2504910792
SCAT_0390	embl-cds:CCB73128	2504910793
SCAT_0391	embl-cds:CCB73129	2504910794
SCAT_0392	embl-cds:CCB73130	2504910795
SCAT_0393	embl-cds:CCB73131	2504910796
SCAT_0394	embl-cds:CCB73132	2504910797
SCAT_0395	embl-cds:CCB73133	2504910798
SCAT_0396	embl-cds:CCB73134	2504910799
SCAT_0397	embl-cds:CCB73135	2504910800
SCAT_0398	embl-cds:CCB73136	2504910801
SCAT_0399	embl-cds:CCB73137	2504910802
SCAT_0400	embl-cds:CCB73138	2504910803
SCAT_0401	embl-cds:CCB73139	2504910804
SCAT_0402	embl-cds:CCB73140	2504910805
SCAT_0403	embl-cds:CCB73141	2504910806
SCAT_0404	embl-cds:CCB73142	2504910807
SCAT_0405	embl-cds:CCB73143	2504910808
SCAT_0406	embl-cds:CCB73144	2504910809
SCAT_0407	embl-cds:CCB73145	2504910810
SCAT_0408	embl-cds:CCB73146	2504910811
SCAT_0409	embl-cds:CCB73147	no IMG ID
SCAT_0410	embl-cds:CCB73148	no IMG ID
SCAT_0411	embl-cds:CCB73149	2504910812
SCAT_0412	embl-cds:CCB73150	2504910813
SCAT_0413	embl-cds:CCB73151	2504910814
SCAT_0414	embl-cds:CCB73152	2504910815
SCAT_0415	embl-cds:CCB73153	2504910817
SCAT_0416	embl-cds:CCB73154	2504911815
SCAT_0417	embl-cds:CCB73155	2504907265
SCAT_0418	embl-cds:CCB73156	2504907264
SCAT_0419	embl-cds:CCB73157	2504907263
SCAT_0420	embl-cds:CCB73158	2504907262
SCAT_0421	embl-cds:CCB73159	2504907261
SCAT_0422	embl-cds:CCB73160	2504907260
SCAT_0423	embl-cds:CCB73161	2504907259
SCAT_0424	embl-cds:CCB73162	2504907258
SCAT_0425	embl-cds:CCB73163	2504907257
SCAT_0426	embl-cds:CCB73164	2504907256
SCAT_0427	embl-cds:CCB73165	2504907255
SCAT_0428	embl-cds:CCB73166	2504907254
SCAT_0429	embl-cds:CCB73167	2504907253
SCAT_0430	embl-cds:CCB73168	2504907252
SCAT_0431	embl-cds:CCB73169	2504907251
SCAT_0432	embl-cds:CCB73170	2504907250
SCAT_0433	embl-cds:CCB73171	2504907249
SCAT_0434	embl-cds:CCB73172	2504907248
SCAT_0435	embl-cds:CCB73173	2504907247
SCAT_0436	embl-cds:CCB73174	2504907246
SCAT_0437	embl-cds:CCB73175	no IMG ID
SCAT_0438	embl-cds:CCB73176	2504907245
SCAT_0439	embl-cds:CCB73177	2504907244
SCAT_0440	embl-cds:CCB73178	2504907243
SCAT_0441	embl-cds:CCB73179	2504907242
SCAT_0442	embl-cds:CCB73180	2504907241
SCAT_0443	embl-cds:CCB73181	2504907240
SCAT_0444	embl-cds:CCB73182	2504907239
SCAT_0445	embl-cds:CCB73183	2504907238
SCAT_0446	embl-cds:CCB73184	2504907237
SCAT_0447	embl-cds:CCB73185	2504907236
SCAT_0448	embl-cds:CCB73186	2504907235
SCAT_0449	embl-cds:CCB73187	2504907234
SCAT_0450	embl-cds:CCB73188	2504907233
SCAT_0451	embl-cds:CCB73189	2504907232
SCAT_0452	embl-cds:CCB73190	2504907231
SCAT_0453	embl-cds:CCB73191	2504907230
SCAT_0454	embl-cds:CCB73192	2504907229
SCAT_0455	embl-cds:CCB73193	no IMG ID
SCAT_0456	embl-cds:CCB73194	2504907228
SCAT_0457	embl-cds:CCB73195	no IMG ID
SCAT_0458	embl-cds:CCB73196	2504907227
SCAT_0459	embl-cds:CCB73197	2504907226
SCAT_0460	embl-cds:CCB73198	2504907225
SCAT_0461	embl-cds:CCB73199	2504907224
SCAT_0462	embl-cds:CCB73200	no IMG ID
SCAT_0463	embl-cds:CCB73201	2504907223
SCAT_0464	embl-cds:CCB73202	2504907222
SCAT_0465	embl-cds:CCB73203	2504907221
SCAT_0466	embl-cds:CCB73204	2504907220
SCAT_0467	embl-cds:CCB73205	2504907219
SCAT_0468	embl-cds:CCB73206	2504907218
SCAT_0469	embl-cds:CCB73207	no IMG ID
SCAT_0470	embl-cds:CCB73208	2504907217
SCAT_0471	embl-cds:CCB73209	2504907216
SCAT_0472	embl-cds:CCB73210	2504907215
SCAT_0473	embl-cds:CCB73211	2504907214
SCAT_0474	embl-cds:CCB73212	2504907213
SCAT_0475	embl-cds:CCB73213	no IMG ID
SCAT_0476	embl-cds:CCB73214	2504907212
SCAT_0477	embl-cds:CCB73215	2504907211
SCAT_0478	embl-cds:CCB73216	2504907210
SCAT_0479	embl-cds:CCB73217	2504907209
SCAT_0480	embl-cds:CCB73218	2504907208
SCAT_0481	embl-cds:CCB73219	2504907207
SCAT_0482	embl-cds:CCB73220	no IMG ID
SCAT_0483	embl-cds:CCB73221	2504907206
SCAT_0484	embl-cds:CCB73222	2504907205
SCAT_0485	embl-cds:CCB73223	2504907204
SCAT_0486	embl-cds:CCB73224	no IMG ID
SCAT_0487	embl-cds:CCB73225	no IMG ID
SCAT_0488	embl-cds:CCB73226	no IMG ID
SCAT_0489	embl-cds:CCB73227	2504907203
SCAT_0490	embl-cds:CCB73228	2504907202
SCAT_0491	embl-cds:CCB73229	2504907201
SCAT_0492	embl-cds:CCB73230	2504907200
SCAT_0493	embl-cds:CCB73231	2504907199
SCAT_0494	embl-cds:CCB73232	2504907198
SCAT_0495	embl-cds:CCB73233	2504907197
SCAT_0496	embl-cds:CCB73234	2504907196
SCAT_0497	embl-cds:CCB73235	no IMG ID
SCAT_0498	embl-cds:CCB73236	2504907195
SCAT_0499	embl-cds:CCB73237	no IMG ID
SCAT_0500	embl-cds:CCB73238	2504907194
SCAT_0501	embl-cds:CCB73239	2504907193
SCAT_0502	embl-cds:CCB73240	2504907192
SCAT_0503	embl-cds:CCB73241	2504907191
SCAT_0504	embl-cds:CCB73242	2504907190
SCAT_0505	embl-cds:CCB73243	2504907189
SCAT_0506	embl-cds:CCB73244	2504907188
SCAT_0507	embl-cds:CCB73245	2504907187
SCAT_0508	embl-cds:CCB73246	no IMG ID
SCAT_0509	embl-cds:CCB73247	2504907186
SCAT_0510	embl-cds:CCB73248	2504907185
SCAT_0511	embl-cds:CCB73249	2504907184
SCAT_0512	embl-cds:CCB73250	2504907183
SCAT_0513	embl-cds:CCB73251	2504907182
SCAT_0514	embl-cds:CCB73252	2504907181
SCAT_0515	embl-cds:CCB73253	2504907180
SCAT_0516	embl-cds:CCB73254	2504907179
SCAT_0517	embl-cds:CCB73255	2504907178
SCAT_0518	embl-cds:CCB73256	2504907177
SCAT_0519	embl-cds:CCB73257	2504907176
SCAT_0520	embl-cds:CCB73258	2504907175
